state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
Massachusetts,2348506,1393197,59.3,16,948190.0,40.4,0,,,,,,
Michigan,3080468,1713647,55.6,20,1359898.0,44.1,0,,,,,,
Minnesota,1340005,719302,53.7,11,617525.0,46.1,0,,,,,,
Mississippi,248104,60685,24.5,0,144453.0,58.2,8,,,,,,
Missouri,1832562,914289,49.9,0,918273.0,50.1,13,,,,,,
Montana,271171,154933,57.1,4,116238.0,42.9,0,,,,,,
Nebraska,577137,378108,65.5,6,199029.0,34.5,0,,,,,,
Nevada,96689,56049,58.0,3,40640.0,42.0,0,,,,,,
New Hampshire,266994,176519,66.1,4,90364.0,33.8,0,,,,,,
New Jersey,2484312,1606942,64.7,16,850337.0,34.2,0,,,,,,
New Mexico,253926,146788,57.8,4,106098.0,41.8,0,,,,,,
New York,7095971,4345506,61.2,45,2747944.0,38.7,0,,,,,,
North Carolina,1165592,575062,49.3,0,590530.0,50.7,14,,,,,,
North Dakota,253991,156766,61.7,4,96742.0,38.1,0,,,,,,
Ohio,3702265,2262610,61.1,25,1439655.0,38.9,0,,,,,,
Oklahoma,859350,473769,55.1,8,385581.0,44.9,0,,,,,,
Oregon,736132,406393,55.2,6,329204.0,44.7,0,,,,,,
Pennsylvania,4576503,2585252,56.5,32,1981769.0,43.3,0,,,,,,
Rhode Island,387609,225819,58.3,4,161790.0,41.7,0,,,,,,
South Carolina,300583,75700,25.2,0,136372.0,45.4,8,,,,,,
South Dakota,293857,171569,58.4,4,122288.0,41.6,0,,,,,,
Tennessee,939404,462288,49.2,11,456507.0,48.6,0,,,,,,
Texas,1955168,1080619,55.3,24,859958.0,44.0,0,,,,,,
Utah,333995,215631,64.6,4,118364.0,35.4,0,,,,,,
Vermont,152978,110390,72.2,3,42549.0,27.8,0,,,,,,
Virginia,697978,386459,55.4,12,267760.0,38.4,0,,,,,,
Washington,1150889,620430,53.9,9,523002.0,45.4,0,,,,,,
West Virginia,830831,449297,54.1,8,381534.0,45.9,0,,,,,,
Wisconsin,1550558,954844,61.6,12,586768.0,37.8,0,,,,,,
Wyoming,124127,74573,60.1,3,49554.0,39.9,0,,,,,,
Alabama,570225,237981,41.7,0,324050.0,56.8,5*,,,,,,
Alaska,60762,30953,50.9,3,29809.0,49.1,0,,,,,,
Arizona,398491,221241,55.5,4,176781.0,44.4,0,,,,,,
Arkansas,428509,184508,43.1,0,215049.0,50.2,8,,,,,,
California,6506578,3259722,50.1,32,3224099.0,49.6,0,,,,,,
Colorado,736236,402242,54.6,6,330629.0,44.9,0,,,,,,
Connecticut,1222883,565813,46.3,0,657055.0,53.7,8,,,,,,
Delaware,196683,96373,49.0,0,99590.0,50.6,3,,,,,,
Florida,1544176,795476,51.5,10,748700.0,48.5,0,,,,,,
Georgia,733349,274472,37.4,0,458638.0,62.5,12,,,,,,
Hawaii,184705,92295,0.0,92410,50.0,3.0,,,,,,,
Idaho,300450,161597,53.8,4,138853.0,46.2,0,,,,,,
Illinois,4757409,2368988,49.8,0,2377846.0,50.0,27,,,,,,
Indiana,2135360,1175120,55.0,13,952358.0,44.6,0,,,,,,
Iowa,1273810,722381,56.7,10,550565.0,43.2,0,,,,,,
Kansas,928825,561474,60.4,8,363213.0,39.1,0,,,,,,
Kentucky,1124462,602607,53.6,10,521855.0,46.4,0,,,,,,
Louisiana,807891,230980,28.6,0,407339.0,50.4,10,,,,,,
Maine,421767,240608,57.0,5,181159.0,43.0,0,,,,,,
Maryland,1055349,489538,46.4,0,565808.0,53.6,9,,,,,,
